,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned,hr_mean,hr_peak
212,Sunday,2021-10-24,Walking,31.47269576787949,min,546.62,73.8184,164.1306,174.168
213,Sunday,2021-10-24,TraditionalStrengthTraining,57.89420114954313,min,807.194,135.925,143.21766666666667,146.468
214,Monday,2021-10-25,Walking,24.28812181750933,min,415.021,56.901,165.28533333333334,167.383
215,Monday,2021-10-25,TraditionalStrengthTraining,41.81550833185513,min,587.422,97.3445,142.8502,147.177
216,Monday,2021-10-25,Walking,26.70619261662165,min,446.415,62.5682,169.37733333333333,171.049
217,Tuesday,2021-10-26,TraditionalStrengthTraining,47.76404090126356,min,490.865,108.472,125.8192,133.503
218,Tuesday,2021-10-26,Walking,26.68627596696218,min,442.88,61.9209,154.149,162.984
219,Wednesday,2021-10-27,TraditionalStrengthTraining,59.79617150028547,min,782.287,136.952,140.24433333333334,158.101
220,Wednesday,2021-10-27,Walking,25.01098985075951,min,394.782,58.0402,155.47866666666667,158.042
221,Thursday,2021-10-28,TraditionalStrengthTraining,38.76136140028635,min,372.403,89.0637,120.35025,128.652
222,Thursday,2021-10-28,Walking,5.771976083517075,min,34.9779,13.0659,108.1445,110.289
223,Thursday,2021-10-28,Walking,13.57622386813164,min,122.781,31.1744,123.052,129.068
224,Thursday,2021-10-28,Walking,13.7044155160586,min,79.5,31.284,109.08333333333333,111.132
225,Friday,2021-10-29,TraditionalStrengthTraining,43.2657819668452,min,516.387,98.6715,133.3418,136.552
226,Friday,2021-10-29,Walking,29.08750999967257,min,465.609,67.586,159.28966666666668,161.549
227,Saturday,2021-10-30,TraditionalStrengthTraining,93.01486271619797,min,1136.73,213.97,138.17277777777778,160.197
228,Sunday,2021-10-31,TraditionalStrengthTraining,41.71771653294563,min,526.483,95.3769,137.29800000000003,151.188
229,Sunday,2021-10-31,Walking,20.81802658438682,min,335.51,48.1823,160.4005,161.399
230,Wednesday,2021-11-03,TraditionalStrengthTraining,43.25371650060018,min,590.949,98.225,138.59366666666665,153.717
231,Wednesday,2021-11-03,TraditionalStrengthTraining,31.82189486821493,min,484.175,72.891,149.0915,163.861
232,Thursday,2021-11-04,TraditionalStrengthTraining,47.64625543355942,min,581.372,109.682,136.126,156.132
233,Thursday,2021-11-04,Walking,15.91538071632385,min,291.164,36.9437,173.429,177.267
234,Friday,2021-11-05,TraditionalStrengthTraining,44.31675776640574,min,489.471,101.595,130.96620000000001,135.341
235,Friday,2021-11-05,Walking,7.975314265489578,min,137.294,18.2914,165.628,165.628
236,Sunday,2021-11-07,TraditionalStrengthTraining,62.57454651594162,min,616.525,143.062,125.2395,144.61
237,Sunday,2021-11-07,Walking,17.97278371651968,min,310.927,41.5987,165.1275,167.795
238,Monday,2021-11-08,TraditionalStrengthTraining,30.36518941521645,min,338.087,69.6561,131.62466666666668,137.277
239,Monday,2021-11-08,Walking,60.17164241671562,min,981.892,139.811,160.77433333333337,171.546
240,Tuesday,2021-11-09,TraditionalStrengthTraining,53.28495691816012,min,594.956,122.293,130.56883333333334,140.788
241,Tuesday,2021-11-09,Walking,21.67795820037524,min,339.086,50.1761,156.29466666666667,167.727
242,Wednesday,2021-11-10,TraditionalStrengthTraining,72.05204659899076,min,866.145,165.715,133.3715714285714,142.046
243,Wednesday,2021-11-10,Walking,62.57788176735242,min,1010.5,145.546,162.58614285714287,175.722
244,Thursday,2021-11-11,TraditionalStrengthTraining,38.88624268372853,min,447.367,89.6706,132.2655,137.197
